ticker,company,sample_role,construct,condition,condition_label,manifest_context_word_count,actual_context_word_count,prompt_word_count,text_chunk_count,xbrl_fact_count,xbrl_path_count,text_context_words_from_log,xbrl_context_words_from_log,hybrid_text_xbrl_word_imbalance_ratio,context_file,prompt_file
SBUX,Starbucks Corporation,main_deep_case,inventory,text,Text-based contextual retrieval,521,485,656,5,0,0,432,0,,data/processed/retrieval_contexts/sbux_inventory_text_context.txt,data/processed/prompts/sbux_inventory_text_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,inventory,xbrl,XBRL-based relational retrieval,514,472,643,0,12,10,0,620,,data/processed/retrieval_contexts/sbux_inventory_xbrl_context.txt,data/processed/prompts/sbux_inventory_xbrl_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,Hybrid retrieval,560,518,689,5,12,10,432,620,1.44,data/processed/retrieval_contexts/sbux_inventory_hybrid_context.txt,data/processed/prompts/sbux_inventory_hybrid_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/sbux_inventory_llm_only_context.txt,data/processed/prompts/sbux_inventory_llm_only_prompt.txt
TGT,Target Corporation,main_deep_case,revenue,text,Text-based contextual retrieval,566,541,713,5,0,0,481,0,,data/processed/retrieval_contexts/tgt_revenue_text_context.txt,data/processed/prompts/tgt_revenue_text_prompt.txt
TGT,Target Corporation,main_deep_case,revenue,xbrl,XBRL-based relational retrieval,577,535,707,0,12,10,0,689,,data/processed/retrieval_contexts/tgt_revenue_xbrl_context.txt,data/processed/prompts/tgt_revenue_xbrl_prompt.txt
TGT,Target Corporation,main_deep_case,revenue,hybrid,Hybrid retrieval,761,721,893,5,12,10,481,689,1.43,data/processed/retrieval_contexts/tgt_revenue_hybrid_context.txt,data/processed/prompts/tgt_revenue_hybrid_prompt.txt
TGT,Target Corporation,main_deep_case,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/tgt_revenue_llm_only_context.txt,data/processed/prompts/tgt_revenue_llm_only_prompt.txt
TGT,Target Corporation,main_deep_case,inventory,text,Text-based contextual retrieval,786,757,928,5,0,0,697,0,,data/processed/retrieval_contexts/tgt_inventory_text_context.txt,data/processed/prompts/tgt_inventory_text_prompt.txt
TGT,Target Corporation,main_deep_case,inventory,xbrl,XBRL-based relational retrieval,556,514,685,0,12,10,0,652,,data/processed/retrieval_contexts/tgt_inventory_xbrl_context.txt,data/processed/prompts/tgt_inventory_xbrl_prompt.txt
TGT,Target Corporation,main_deep_case,inventory,hybrid,Hybrid retrieval,742,698,869,5,12,10,697,652,1.07,data/processed/retrieval_contexts/tgt_inventory_hybrid_context.txt,data/processed/prompts/tgt_inventory_hybrid_prompt.txt
TGT,Target Corporation,main_deep_case,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/tgt_inventory_llm_only_context.txt,data/processed/prompts/tgt_inventory_llm_only_prompt.txt
WMT,Walmart Inc.,bounded_extension,revenue,text,Text-based contextual retrieval,720,699,871,5,0,0,637,0,,data/processed/retrieval_contexts/wmt_revenue_text_context.txt,data/processed/prompts/wmt_revenue_text_prompt.txt
WMT,Walmart Inc.,bounded_extension,revenue,xbrl,XBRL-based relational retrieval,653,611,783,0,12,10,0,725,,data/processed/retrieval_contexts/wmt_revenue_xbrl_context.txt,data/processed/prompts/wmt_revenue_xbrl_prompt.txt
WMT,Walmart Inc.,bounded_extension,revenue,hybrid,Hybrid retrieval,925,885,1057,5,12,10,637,725,1.14,data/processed/retrieval_contexts/wmt_revenue_hybrid_context.txt,data/processed/prompts/wmt_revenue_hybrid_prompt.txt
WMT,Walmart Inc.,bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/wmt_revenue_llm_only_context.txt,data/processed/prompts/wmt_revenue_llm_only_prompt.txt
WMT,Walmart Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,629,602,773,5,0,0,540,0,,data/processed/retrieval_contexts/wmt_inventory_text_context.txt,data/processed/prompts/wmt_inventory_text_prompt.txt
WMT,Walmart Inc.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,568,527,698,0,11,10,0,641,,data/processed/retrieval_contexts/wmt_inventory_xbrl_context.txt,data/processed/prompts/wmt_inventory_xbrl_prompt.txt
WMT,Walmart Inc.,bounded_extension,inventory,hybrid,Hybrid retrieval,676,635,806,5,11,10,540,641,1.19,data/processed/retrieval_contexts/wmt_inventory_hybrid_context.txt,data/processed/prompts/wmt_inventory_hybrid_prompt.txt
WMT,Walmart Inc.,bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/wmt_inventory_llm_only_context.txt,data/processed/prompts/wmt_inventory_llm_only_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,revenue,text,Text-based contextual retrieval,742,717,890,5,0,0,735,0,,data/processed/retrieval_contexts/hd_revenue_text_context.txt,data/processed/prompts/hd_revenue_text_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,revenue,xbrl,XBRL-based relational retrieval,631,589,762,0,12,10,0,733,,data/processed/retrieval_contexts/hd_revenue_xbrl_context.txt,data/processed/prompts/hd_revenue_xbrl_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,Hybrid retrieval,857,817,990,5,12,10,735,733,1.0,data/processed/retrieval_contexts/hd_revenue_hybrid_context.txt,data/processed/prompts/hd_revenue_hybrid_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,183,0,0,0,0,0,,data/processed/retrieval_contexts/hd_revenue_llm_only_context.txt,data/processed/prompts/hd_revenue_llm_only_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,inventory,text,Text-based contextual retrieval,732,707,879,5,0,0,647,0,,data/processed/retrieval_contexts/hd_inventory_text_context.txt,data/processed/prompts/hd_inventory_text_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,inventory,xbrl,XBRL-based relational retrieval,569,527,699,0,12,10,0,669,,data/processed/retrieval_contexts/hd_inventory_xbrl_context.txt,data/processed/prompts/hd_inventory_xbrl_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,Hybrid retrieval,807,765,937,5,12,10,647,669,1.03,data/processed/retrieval_contexts/hd_inventory_hybrid_context.txt,data/processed/prompts/hd_inventory_hybrid_prompt.txt
HD,"Home Depot, Inc.",bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/hd_inventory_llm_only_context.txt,data/processed/prompts/hd_inventory_llm_only_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,revenue,text,Text-based contextual retrieval,800,768,940,5,0,0,713,0,,data/processed/retrieval_contexts/cat_revenue_text_context.txt,data/processed/prompts/cat_revenue_text_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,revenue,xbrl,XBRL-based relational retrieval,664,618,790,0,12,10,0,731,,data/processed/retrieval_contexts/cat_revenue_xbrl_context.txt,data/processed/prompts/cat_revenue_xbrl_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,Hybrid retrieval,870,819,991,5,12,10,713,731,1.03,data/processed/retrieval_contexts/cat_revenue_hybrid_context.txt,data/processed/prompts/cat_revenue_hybrid_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/cat_revenue_llm_only_context.txt,data/processed/prompts/cat_revenue_llm_only_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,511,488,659,5,0,0,426,0,,data/processed/retrieval_contexts/cat_inventory_text_context.txt,data/processed/prompts/cat_inventory_text_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,535,493,664,0,12,10,0,624,,data/processed/retrieval_contexts/cat_inventory_xbrl_context.txt,data/processed/prompts/cat_inventory_xbrl_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,Hybrid retrieval,579,540,711,5,12,10,426,624,1.46,data/processed/retrieval_contexts/cat_inventory_hybrid_context.txt,data/processed/prompts/cat_inventory_hybrid_prompt.txt
CAT,Caterpillar Inc.,bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/cat_inventory_llm_only_context.txt,data/processed/prompts/cat_inventory_llm_only_prompt.txt
PFE,Pfizer Inc.,bounded_extension,revenue,text,Text-based contextual retrieval,962,929,1101,5,0,0,1092,0,,data/processed/retrieval_contexts/pfe_revenue_text_context.txt,data/processed/prompts/pfe_revenue_text_prompt.txt
PFE,Pfizer Inc.,bounded_extension,revenue,xbrl,XBRL-based relational retrieval,672,630,802,0,12,10,0,750,,data/processed/retrieval_contexts/pfe_revenue_xbrl_context.txt,data/processed/prompts/pfe_revenue_xbrl_prompt.txt
PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,Hybrid retrieval,901,854,1026,5,12,10,1092,750,1.46,data/processed/retrieval_contexts/pfe_revenue_hybrid_context.txt,data/processed/prompts/pfe_revenue_hybrid_prompt.txt
PFE,Pfizer Inc.,bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/pfe_revenue_llm_only_context.txt,data/processed/prompts/pfe_revenue_llm_only_prompt.txt
PFE,Pfizer Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,624,586,757,5,0,0,535,0,,data/processed/retrieval_contexts/pfe_inventory_text_context.txt,data/processed/prompts/pfe_inventory_text_prompt.txt
PFE,Pfizer Inc.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,585,538,709,0,12,10,0,649,,data/processed/retrieval_contexts/pfe_inventory_xbrl_context.txt,data/processed/prompts/pfe_inventory_xbrl_prompt.txt
PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,Hybrid retrieval,772,718,889,5,12,10,535,649,1.21,data/processed/retrieval_contexts/pfe_inventory_hybrid_context.txt,data/processed/prompts/pfe_inventory_hybrid_prompt.txt
PFE,Pfizer Inc.,bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/pfe_inventory_llm_only_context.txt,data/processed/prompts/pfe_inventory_llm_only_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,revenue,text,Text-based contextual retrieval,601,579,751,5,0,0,518,0,,data/processed/retrieval_contexts/msft_revenue_text_context.txt,data/processed/prompts/msft_revenue_text_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,revenue,xbrl,XBRL-based relational retrieval,224,212,384,0,12,0,0,299,,data/processed/retrieval_contexts/msft_revenue_xbrl_context.txt,data/processed/prompts/msft_revenue_xbrl_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,Hybrid retrieval,555,535,707,5,12,0,518,299,1.73,data/processed/retrieval_contexts/msft_revenue_hybrid_context.txt,data/processed/prompts/msft_revenue_hybrid_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/msft_revenue_llm_only_context.txt,data/processed/prompts/msft_revenue_llm_only_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,inventory,text,Text-based contextual retrieval,269,249,420,5,0,0,186,0,,data/processed/retrieval_contexts/msft_inventory_text_context.txt,data/processed/prompts/msft_inventory_text_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,203,192,363,0,11,0,0,270,,data/processed/retrieval_contexts/msft_inventory_xbrl_context.txt,data/processed/prompts/msft_inventory_xbrl_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,inventory,hybrid,Hybrid retrieval,298,278,449,5,11,0,186,270,1.45,data/processed/retrieval_contexts/msft_inventory_hybrid_context.txt,data/processed/prompts/msft_inventory_hybrid_prompt.txt
MSFT,Microsoft Corp.,bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/msft_inventory_llm_only_context.txt,data/processed/prompts/msft_inventory_llm_only_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,revenue,text,Text-based contextual retrieval,698,674,846,5,0,0,611,0,,data/processed/retrieval_contexts/crox_revenue_text_context.txt,data/processed/prompts/crox_revenue_text_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,revenue,xbrl,XBRL-based relational retrieval,639,596,768,0,12,10,0,735,,data/processed/retrieval_contexts/crox_revenue_xbrl_context.txt,data/processed/prompts/crox_revenue_xbrl_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,Hybrid retrieval,881,837,1009,5,12,10,611,735,1.2,data/processed/retrieval_contexts/crox_revenue_hybrid_context.txt,data/processed/prompts/crox_revenue_hybrid_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/crox_revenue_llm_only_context.txt,data/processed/prompts/crox_revenue_llm_only_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,inventory,text,Text-based contextual retrieval,733,706,877,5,0,0,695,0,,data/processed/retrieval_contexts/crox_inventory_text_context.txt,data/processed/prompts/crox_inventory_text_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,inventory,xbrl,XBRL-based relational retrieval,589,547,718,0,12,10,0,675,,data/processed/retrieval_contexts/crox_inventory_xbrl_context.txt,data/processed/prompts/crox_inventory_xbrl_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,inventory,hybrid,Hybrid retrieval,761,719,890,5,12,10,695,675,1.03,data/processed/retrieval_contexts/crox_inventory_hybrid_context.txt,data/processed/prompts/crox_inventory_hybrid_prompt.txt
CROX,"Crocs, Inc.",bounded_extension,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/crox_inventory_llm_only_context.txt,data/processed/prompts/crox_inventory_llm_only_prompt.txt
