global_claim_id,ticker,company,sample_role,construct,condition,claim_text,text_source_ids,xbrl_source_ids,coder_id,claim_segmentation_agreement,claim_kind_code,evidence_use_type_code,text_supported_code,graph_valid_code,integrated_code,audit_boundary_note,confidence_code,coder_notes
MAIN-C089,TGT,Target Corporation,main_deep_case,inventory,hybrid,Target Corporation values its inventory at the lower of LIFO cost or market and utilizes the retail inventory accounting method.,Text Chunk 1,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C090,TGT,Target Corporation,main_deep_case,inventory,hybrid,"As of February 1, 2025, Target Corporation's net inventory was $12,740,000,000.",,F-TGT-0007,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
MAIN-C091,TGT,Target Corporation,main_deep_case,inventory,hybrid,The estimation of the inventory shrink reserve presents a valuation risk due to the high sensitivity of the reserve's impact on cost of sales.,Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C092,TGT,Target Corporation,main_deep_case,inventory,hybrid,Inventory valuation is subject to risk regarding the timing and accuracy of markdown adjustments driven by external volatility.,Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C093,TGT,Target Corporation,main_deep_case,inventory,hybrid,The use of the Retail Inventory Method (RIM) introduces a valuation risk centered on the accuracy of the cost-to-retail ratio.,Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C010,WMT,Walmart Inc.,bounded_extension,revenue,hybrid,The recognition of gift card breakage income involves management estimation risk.,Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C011,WMT,Walmart Inc.,bounded_extension,revenue,hybrid,The deferral of revenue for gift card purchases until redemption presents a cut-off risk.,Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C012,WMT,Walmart Inc.,bounded_extension,revenue,hybrid,"The calculation of ""comparable sales"" involves complex inclusions (e.g., omnichannel and advertising net sales) that may impact the Accuracy assertion.",Text Chunk 2,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C013,WMT,Walmart Inc.,bounded_extension,revenue,hybrid,Net sales for the Sam's Club U.S. segment increased by $2.8 billion (3.1%) for fiscal 2026.,Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C014,WMT,Walmart Inc.,bounded_extension,revenue,hybrid,Lower fuel prices negatively impacted comparable sales by 1.9% in fiscal 2026.,Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C026,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,"As of January 31, 2026, the net inventory value for Walmart Inc. was $58,851,000,000.",,F-WMT-0012,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C027,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,"Walmart Inc. utilizes various inventory methods depending on store formats and businesses, recording inventories at the lower of cost or market or net realizable value, as appropriate.",Text Chunk 2,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C028,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,The use of multiple valuation methods (lower of cost or market vs. net realizable value) across different store formats and business segments creates a risk regarding the valuation assertion.,Text Chunk 2,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C029,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,The reliance on the Retail Inventory Method (RIM) and the immediate recording of permanent markdowns in the Walmart U.S. segment presents a risk to the valuation assertion.,Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C030,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,"The use of the last-in, first-out (LIFO) valuation method for the Walmart U.S. segment is a consideration for the inventory valuation assertion.",Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C042,HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,"As of February 1, 2026, and February 2, 2025, performance obligations for unredeemed gift cards were $1.1 billion.",T-HD-REVENUE-056,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C043,HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,"Revenue from contracts with customers (excluding assessed tax) for the period from 2023-01-30 to 2024-01-28 was $152,669,000,000.",,F-HD-0009,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C044,HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.,T-HD-REVENUE-056,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C045,HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance.",T-HD-REVENUE-056,F-HD-0044,Coder 2,1,factual,text_xbrl_integrated,1,1,1,,high,Narrative and structured evidence jointly support the coded claim.
EXT-C046,HD,"Home Depot, Inc.",bounded_extension,revenue,hybrid,There has been a significant increase in sales initiated online and via mobile applications.,T-HD-REVENUE-015,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C058,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,"Merchandise inventories were $25.8 billion as of February 1, 2026.",T-HD-INVENTORY-020,F-HD-0004,Coder 2,1,factual,text_xbrl_integrated,1,1,1,,high,Narrative and structured evidence jointly support the coded claim.
EXT-C059,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,"Home Depot utilizes the retail inventory method (RIM) for the majority of its merchandise inventories, while inventories in Canada, Mexico, distribution centers, and SRS distribution operations are recorded using cost methods (primarily moving average and first-in, first-out).",T-HD-INVENTORY-020; T-HD-INVENTORY-028,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C060,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,There is a risk regarding the valuation assertion due to inherent uncertainty in the final determination of inventory cost and gross profit when applying the retail inventory method.,T-HD-INVENTORY-018,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C061,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,"The valuation of inventory is subject to estimation risk because the determination of markups and markdowns relies on subjective and variable factors, including anticipated demand, customer preferences, buying trends, age of merchandise, and weather conditions.",T-HD-INVENTORY-018,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C062,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,The valuation of inventory acquired through business combinations (specifically SRS and GMS Inc) may require distinct audit consideration as these assets are recorded under different valuation frameworks than the majority of the company's inventory.,T-HD-INVENTORY-028,F-HD-0169; F-HD-0172,Coder 2,1,risk_assertion,text_xbrl_integrated,0.5,0.5,1,"Text and XBRL support the premise, but the audit-risk/assertion implication requires additional audit evidence.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C074,CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,"Trade receivables from dealers and end users were $9,402 million as of December 31, 2025.",T-CAT-REVENUE_INVENTORY-021,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C075,CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,"For the period from January 1, 2025, to December 31, 2025, the company recorded a Contract With Customer Liability Cumulative Catch-Up Adjustment to Revenue Change in Estimate of Transaction Price of -$497 million.",,F-CAT-0052,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C076,CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,The recording of a significant negative cumulative catch-up adjustment to revenue due to changes in transaction price estimates suggests a risk related to the Accuracy assertion of revenue recognition.,,F-CAT-0052,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C077,CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,"The anticipation of sales growth driven by ""changes in dealer inventories"" and ""seasonal dealer inventory build"" suggests a risk related to the Occurrence assertion of revenue.",T-CAT-REVENUE_INVENTORY-006,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C078,CAT,Caterpillar Inc.,bounded_extension,revenue,hybrid,"As of December 31, 2025, the Contract With Customer Liability was $4,678 million.",,F-CAT-0062,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C089,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,"Caterpillar Inc. values inventories at the lower of cost or net realizable value, primarily using the last-in, first-out (LIFO) method.",T-CAT-INVENTORY-016,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C090,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,"As of December 31, 2025, the Inventory LIFO Reserve was $4,305,000,000.",,F-CAT-0048,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C091,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,"The reliance on the LIFO method for approximately 70% of total inventories as of December 31, 2025, presents a valuation risk regarding the accuracy of the LIFO reserve.",T-CAT-INVENTORY-016,F-CAT-0048,Coder 2,1,risk_assertion,text_xbrl_integrated,0.5,0.5,1,"Text and XBRL support the premise, but the audit-risk/assertion implication requires additional audit evidence.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C092,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,The occurrence of inventory write-downs and LIFO inventory decrement benefits associated with restructuring and closed facilities indicates a risk to the valuation assertion.,T-CAT-INVENTORY-008; T-CAT-INVENTORY-023,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C093,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,"As of December 31, 2025, Inventory Finished Goods Net of Reserves was $8,725,000,000.",,F-CAT-0801,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C105,PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,"As of December 31, 2025, deferred revenues for Paxlovid and Comirnaty totaled $1.5 billion, comprising $689 million in current liabilities and $826 million in noncurrent liabilities.",T-PFE-REVENUE-141,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C106,PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,"The estimation of variable consideration—including chargebacks, rebates, sales allowances, and sales returns—presents a risk to the accuracy of reported net revenues.",T-PFE-REVENUE-066,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C107,PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,The process for calculating provisions for pharmaceutical sales returns involves multiple subjective variables that may impact the valuation of revenue.,T-PFE-REVENUE-093,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C108,PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,The recognition of revenue from the balance of deferred revenues for Paxlovid and Comirnaty presents a risk regarding the timing of revenue recognition.,T-PFE-REVENUE-141,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C109,PFE,Pfizer Inc.,bounded_extension,revenue,hybrid,"For the period ended December 31, 2025, there were 12 countries where revenue from contracts with customers was $500 million or more.",,F-PFE-0165,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C121,PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,"Pfizer records inventories at the lower of cost or net realizable value, with the cost of finished goods, work in process, and raw materials determined using average actual cost.",T-PFE-INVENTORY-011,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C122,PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,"In 2023, Biopharma earnings included approximately $6.2 billion of inventory write-offs and related charges to Cost of sales, primarily due to lower-than-expected demand for COVID-19 products.",T-PFE-REVENUE_INVENTORY-035,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C123,PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,"The occurrence of significant historical inventory write-offs (e.g., $6.2 billion in 2023) and non-cash favorable product return adjustments ($771 million in 2024) suggests a risk regarding the valuation assertion for inventory.",T-PFE-REVENUE_INVENTORY-035,F-PFE-0134,Coder 2,1,risk_assertion,text_xbrl_integrated,0.5,0.5,1,"Text and XBRL support the premise, but the audit-risk/assertion implication requires additional audit evidence.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C124,PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,"The policy of classifying inventories not expected to be sold within 12 months as ""Other noncurrent assets"" presents a risk to the valuation and classification assertions.",T-PFE-INVENTORY-011,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C125,PFE,Pfizer Inc.,bounded_extension,inventory,hybrid,"As of 2023-12-14, Pfizer recognized $3.273 billion in inventory from the Seagen acquisition, comprising $1.1 billion in current inventory and $2.1 billion in noncurrent inventory.",,F-PFE-0037; F-PFE-0038; F-PFE-0039,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C136,MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,"As of 2025-06-30, the current contract liability was $64,555,000,000.",,F-MSFT-0028,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C137,MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,"Management utilizes estimates and assumptions to determine the standalone selling price (SSP) of performance obligations, variable consideration, and the nature and timing of the satisfaction of performance obligations.",T-MSFT-REVENUE-089,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C138,MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,The reliance on management estimates for determining the standalone selling price (SSP) and the timing of satisfaction of performance obligations creates a risk related to the Accuracy and Cut-off assertions for revenue.,T-MSFT-REVENUE-089,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C139,MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,"The practice of decoupling the timing of revenue recognition from the timing of invoicing (e.g., recording receivables for multi-year licenses or unearned revenue for subscriptions) creates a risk related to the Occurrence and Cut-off assertions.",T-MSFT-REVENUE-102; T-MSFT-REVENUE-105,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C140,MSFT,Microsoft Corp.,bounded_extension,revenue,hybrid,Management's judgment that contracts generally do not include a significant financing component creates a risk related to the Accuracy assertion of revenue measurement.,T-MSFT-REVENUE-105,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C151,MSFT,Microsoft Corp.,bounded_extension,inventory,hybrid,"As of 2025-06-30, the net inventory (InventoryNet) was $938,000,000.",,F-MSFT-0026,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C152,MSFT,Microsoft Corp.,bounded_extension,inventory,hybrid,"As of 2024-06-30, the net inventory (InventoryNet) was $1,246,000,000.",,F-MSFT-0027,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
EXT-C153,MSFT,Microsoft Corp.,bounded_extension,inventory,hybrid,The scaling of AI infrastructure may present a risk to the valuation assertion of inventory due to potential technological obsolescence.,T-MSFT-INVENTORY-005; T-MSFT-INVENTORY-006,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C154,MSFT,Microsoft Corp.,bounded_extension,inventory,hybrid,The decrease in the net inventory balance between 2024-06-30 and 2025-06-30 requires assessment to determine if valuation adjustments were made.,,F-MSFT-0026; F-MSFT-0027,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C166,CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,"Crocs recognizes revenue when control of the product transfers to customers, reported net of promotions, discounts, rebates, and other incentives.",Text Chunk 1,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C167,CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,"The estimation of reserves for sales returns and allowances, particularly for direct-to-consumer channels and wholesale exceptions, involves significant judgment.",Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
EXT-C168,CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,Revenue recognition for wholesale customers occurs either when the product is shipped/delivered from a facility or when the customer receives the product at a designated delivery point.,Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C169,CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,Markdown allowances are provided to key wholesalers and distributors at the company's sole discretion to facilitate the sale of slower-moving products.,Text Chunk 1; Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
EXT-C170,CROX,"Crocs, Inc.",bounded_extension,revenue,hybrid,"As of December 31, 2025, the company recorded no deferred revenues associated with advance customer deposits.",Text Chunk 2,,Coder 2,1,factual,text_only,1,NA,0,,high,
