failure_mode,claim_id,ticker,construct,condition,claim_text,support_used,text_source_ids,xbrl_source_ids,preliminary_interpretation,manual_review_required
integration failure,C106,PFE,revenue,hybrid,"The estimation of variable consideration—including chargebacks, rebates, sales allowances, and sales returns—presents a risk to the accuracy of reported net revenues.",T-PFE-REVENUE-066,T-PFE-REVENUE-066,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C107,PFE,revenue,hybrid,The process for calculating provisions for pharmaceutical sales returns involves multiple subjective variables that may impact the valuation of revenue.,T-PFE-REVENUE-093,T-PFE-REVENUE-093,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C108,PFE,revenue,hybrid,The recognition of revenue from the balance of deferred revenues for Paxlovid and Comirnaty presents a risk regarding the timing of revenue recognition.,T-PFE-REVENUE-141,T-PFE-REVENUE-141,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C109,PFE,revenue,hybrid,"For the period ended December 31, 2025, there were 12 countries where revenue from contracts with customers was $500 million or more.",F-PFE-0165,,F-PFE-0165,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C121,PFE,inventory,hybrid,"Pfizer records inventories at the lower of cost or net realizable value, with the cost of finished goods, work in process, and raw materials determined using average actual cost.",T-PFE-INVENTORY-011,T-PFE-INVENTORY-011,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C122,PFE,inventory,hybrid,"In 2023, Biopharma earnings included approximately $6.2 billion of inventory write-offs and related charges to Cost of sales, primarily due to lower-than-expected demand for COVID-19 products.",T-PFE-REVENUE_INVENTORY-035,T-PFE-REVENUE_INVENTORY-035,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C124,PFE,inventory,hybrid,"The policy of classifying inventories not expected to be sold within 12 months as ""Other noncurrent assets"" presents a risk to the valuation and classification assertions.",T-PFE-INVENTORY-011,T-PFE-INVENTORY-011,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C125,PFE,inventory,hybrid,"As of 2023-12-14, Pfizer recognized $3.273 billion in inventory from the Seagen acquisition, comprising $1.1 billion in current inventory and $2.1 billion in noncurrent inventory.","F-PFE-0037, F-PFE-0038, F-PFE-0039",,F-PFE-0037; F-PFE-0038; F-PFE-0039,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C136,MSFT,revenue,hybrid,"As of 2025-06-30, the current contract liability was $64,555,000,000.",F-MSFT-0028,,F-MSFT-0028,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C137,MSFT,revenue,hybrid,"Management utilizes estimates and assumptions to determine the standalone selling price (SSP) of performance obligations, variable consideration, and the nature and timing of the satisfaction of performance obligations.",T-MSFT-REVENUE-089,T-MSFT-REVENUE-089,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C138,MSFT,revenue,hybrid,The reliance on management estimates for determining the standalone selling price (SSP) and the timing of satisfaction of performance obligations creates a risk related to the Accuracy and Cut-off assertions for revenue.,T-MSFT-REVENUE-089,T-MSFT-REVENUE-089,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C139,MSFT,revenue,hybrid,"The practice of decoupling the timing of revenue recognition from the timing of invoicing (e.g., recording receivables for multi-year licenses or unearned revenue for subscriptions) creates a risk related to the Occurrence and Cut-off assertions.","T-MSFT-REVENUE-102, T-MSFT-REVENUE-105",T-MSFT-REVENUE-102; T-MSFT-REVENUE-105,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C140,MSFT,revenue,hybrid,Management's judgment that contracts generally do not include a significant financing component creates a risk related to the Accuracy assertion of revenue measurement.,T-MSFT-REVENUE-105,T-MSFT-REVENUE-105,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C151,MSFT,inventory,hybrid,"As of 2025-06-30, the net inventory (InventoryNet) was $938,000,000.",F-MSFT-0026,,F-MSFT-0026,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C152,MSFT,inventory,hybrid,"As of 2024-06-30, the net inventory (InventoryNet) was $1,246,000,000.",F-MSFT-0027,,F-MSFT-0027,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C153,MSFT,inventory,hybrid,The scaling of AI infrastructure may present a risk to the valuation assertion of inventory due to potential technological obsolescence.,"T-MSFT-INVENTORY-005, T-MSFT-INVENTORY-006",T-MSFT-INVENTORY-005; T-MSFT-INVENTORY-006,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C154,MSFT,inventory,hybrid,The decrease in the net inventory balance between 2024-06-30 and 2025-06-30 requires assessment to determine if valuation adjustments were made.,"F-MSFT-0026, F-MSFT-0027",,F-MSFT-0026; F-MSFT-0027,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C166,CROX,revenue,hybrid,"Crocs recognizes revenue when control of the product transfers to customers, reported net of promotions, discounts, rebates, and other incentives.",Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C167,CROX,revenue,hybrid,"The estimation of reserves for sales returns and allowances, particularly for direct-to-consumer channels and wholesale exceptions, involves significant judgment.",Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C168,CROX,revenue,hybrid,Revenue recognition for wholesale customers occurs either when the product is shipped/delivered from a facility or when the customer receives the product at a designated delivery point.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C169,CROX,revenue,hybrid,Markdown allowances are provided to key wholesalers and distributors at the company's sole discretion to facilitate the sale of slower-moving products.,"Text Chunk 1, Text Chunk 3",Text Chunk 1; Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C170,CROX,revenue,hybrid,"As of December 31, 2025, the company recorded no deferred revenues associated with advance customer deposits.",Text Chunk 2,Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C182,CROX,inventory,hybrid,"As of December 31, 2025, Crocs, Inc.'s net inventory was $368,687,000.",F-CROX-0014,,F-CROX-0014,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C183,CROX,inventory,hybrid,"Crocs, Inc. recorded an inventory write-down of $871,000 for the fiscal year 2025.",F-CROX-0020,,F-CROX-0020,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C184,CROX,inventory,hybrid,The valuation of inventory is subject to significant estimation uncertainty regarding the assessment of the lower of cost or net realizable value (NRV).,"T-CROX-REVENUE_INVENTORY-022, T-CROX-REVENUE_INVENTORY-019",T-CROX-REVENUE_INVENTORY-019; T-CROX-REVENUE_INVENTORY-022,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C185,CROX,inventory,hybrid,Inventory valuation is sensitive to fluctuations in consumer and retailer preferences and general market conditions.,T-CROX-REVENUE_INVENTORY-022,T-CROX-REVENUE_INVENTORY-022,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C186,CROX,inventory,hybrid,The use of outlet stores and off-price channels to sell discontinued or end-of-life inventory introduces specific valuation considerations for NRV.,T-CROX-REVENUE_INVENTORY-022,T-CROX-REVENUE_INVENTORY-022,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
