claim_id,ticker,company,sample_role,construct,claim_kind,mechanism,mechanism_definition,has_text_source,has_xbrl_source,integrated_prelim,text_source_ids,xbrl_source_ids,claim_text
C075,CAT,Caterpillar Inc.,bounded_extension,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CAT-0052,"For the period from January 1, 2025, to December 31, 2025, the company recorded a Contract With Customer Liability Cumulative Catch-Up Adjustment to Revenue Change in Estimate of Transaction Price of -$497 million."
C076,CAT,Caterpillar Inc.,bounded_extension,revenue,risk_or_assertion_mapping,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CAT-0052,The recording of a significant negative cumulative catch-up adjustment to revenue due to changes in transaction price estimates suggests a risk related to the Accuracy assertion of revenue recognition.
C077,CAT,Caterpillar Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CAT-REVENUE_INVENTORY-006,,"The anticipation of sales growth driven by ""changes in dealer inventories"" and ""seasonal dealer inventory build"" suggests a risk related to the Occurrence assertion of revenue."
C078,CAT,Caterpillar Inc.,bounded_extension,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CAT-0062,"As of December 31, 2025, the Contract With Customer Liability was $4,678 million."
C089,CAT,Caterpillar Inc.,bounded_extension,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CAT-INVENTORY-016,,"Caterpillar Inc. values inventories at the lower of cost or net realizable value, primarily using the last-in, first-out (LIFO) method."
C090,CAT,Caterpillar Inc.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CAT-0048,"As of December 31, 2025, the Inventory LIFO Reserve was $4,305,000,000."
C091,CAT,Caterpillar Inc.,bounded_extension,inventory,risk_or_assertion_mapping,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-CAT-INVENTORY-016,F-CAT-0048,"The reliance on the LIFO method for approximately 70% of total inventories as of December 31, 2025, presents a valuation risk regarding the accuracy of the LIFO reserve."
C092,CAT,Caterpillar Inc.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CAT-INVENTORY-008; T-CAT-INVENTORY-023,,The occurrence of inventory write-downs and LIFO inventory decrement benefits associated with restructuring and closed facilities indicates a risk to the valuation assertion.
C093,CAT,Caterpillar Inc.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CAT-0801,"As of December 31, 2025, Inventory Finished Goods Net of Reserves was $8,725,000,000."
C105,PFE,Pfizer Inc.,bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-REVENUE-141,,"As of December 31, 2025, deferred revenues for Paxlovid and Comirnaty totaled $1.5 billion, comprising $689 million in current liabilities and $826 million in noncurrent liabilities."
C106,PFE,Pfizer Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-REVENUE-066,,"The estimation of variable consideration—including chargebacks, rebates, sales allowances, and sales returns—presents a risk to the accuracy of reported net revenues."
C107,PFE,Pfizer Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-REVENUE-093,,The process for calculating provisions for pharmaceutical sales returns involves multiple subjective variables that may impact the valuation of revenue.
C108,PFE,Pfizer Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-REVENUE-141,,The recognition of revenue from the balance of deferred revenues for Paxlovid and Comirnaty presents a risk regarding the timing of revenue recognition.
C109,PFE,Pfizer Inc.,bounded_extension,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-PFE-0165,"For the period ended December 31, 2025, there were 12 countries where revenue from contracts with customers was $500 million or more."
C121,PFE,Pfizer Inc.,bounded_extension,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-INVENTORY-011,,"Pfizer records inventories at the lower of cost or net realizable value, with the cost of finished goods, work in process, and raw materials determined using average actual cost."
C122,PFE,Pfizer Inc.,bounded_extension,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-REVENUE_INVENTORY-035,,"In 2023, Biopharma earnings included approximately $6.2 billion of inventory write-offs and related charges to Cost of sales, primarily due to lower-than-expected demand for COVID-19 products."
C123,PFE,Pfizer Inc.,bounded_extension,inventory,risk_or_assertion_mapping,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-PFE-REVENUE_INVENTORY-035,F-PFE-0134,"The occurrence of significant historical inventory write-offs (e.g., $6.2 billion in 2023) and non-cash favorable product return adjustments ($771 million in 2024) suggests a risk regarding the valuation assertion for inventory."
C124,PFE,Pfizer Inc.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-PFE-INVENTORY-011,,"The policy of classifying inventories not expected to be sold within 12 months as ""Other noncurrent assets"" presents a risk to the valuation and classification assertions."
C125,PFE,Pfizer Inc.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-PFE-0037; F-PFE-0038; F-PFE-0039,"As of 2023-12-14, Pfizer recognized $3.273 billion in inventory from the Seagen acquisition, comprising $1.1 billion in current inventory and $2.1 billion in noncurrent inventory."
C136,MSFT,Microsoft Corp.,bounded_extension,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-MSFT-0028,"As of 2025-06-30, the current contract liability was $64,555,000,000."
C137,MSFT,Microsoft Corp.,bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-MSFT-REVENUE-089,,"Management utilizes estimates and assumptions to determine the standalone selling price (SSP) of performance obligations, variable consideration, and the nature and timing of the satisfaction of performance obligations."
C138,MSFT,Microsoft Corp.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-MSFT-REVENUE-089,,The reliance on management estimates for determining the standalone selling price (SSP) and the timing of satisfaction of performance obligations creates a risk related to the Accuracy and Cut-off assertions for revenue.
C139,MSFT,Microsoft Corp.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-MSFT-REVENUE-102; T-MSFT-REVENUE-105,,"The practice of decoupling the timing of revenue recognition from the timing of invoicing (e.g., recording receivables for multi-year licenses or unearned revenue for subscriptions) creates a risk related to the Occurrence and Cut-off assertions."
C140,MSFT,Microsoft Corp.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-MSFT-REVENUE-105,,Management's judgment that contracts generally do not include a significant financing component creates a risk related to the Accuracy assertion of revenue measurement.
C151,MSFT,Microsoft Corp.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-MSFT-0026,"As of 2025-06-30, the net inventory (InventoryNet) was $938,000,000."
C152,MSFT,Microsoft Corp.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-MSFT-0027,"As of 2024-06-30, the net inventory (InventoryNet) was $1,246,000,000."
C153,MSFT,Microsoft Corp.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-MSFT-INVENTORY-005; T-MSFT-INVENTORY-006,,The scaling of AI infrastructure may present a risk to the valuation assertion of inventory due to potential technological obsolescence.
C154,MSFT,Microsoft Corp.,bounded_extension,inventory,risk_or_assertion_mapping,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-MSFT-0026; F-MSFT-0027,The decrease in the net inventory balance between 2024-06-30 and 2025-06-30 requires assessment to determine if valuation adjustments were made.
C166,CROX,"Crocs, Inc.",bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,"Crocs recognizes revenue when control of the product transfers to customers, reported net of promotions, discounts, rebates, and other incentives."
C167,CROX,"Crocs, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,"The estimation of reserves for sales returns and allowances, particularly for direct-to-consumer channels and wholesale exceptions, involves significant judgment."
C168,CROX,"Crocs, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,Revenue recognition for wholesale customers occurs either when the product is shipped/delivered from a facility or when the customer receives the product at a designated delivery point.
C169,CROX,"Crocs, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1; Text Chunk 3,,Markdown allowances are provided to key wholesalers and distributors at the company's sole discretion to facilitate the sale of slower-moving products.
C170,CROX,"Crocs, Inc.",bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,"As of December 31, 2025, the company recorded no deferred revenues associated with advance customer deposits."
C182,CROX,"Crocs, Inc.",bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CROX-0014,"As of December 31, 2025, Crocs, Inc.'s net inventory was $368,687,000."
C183,CROX,"Crocs, Inc.",bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-CROX-0020,"Crocs, Inc. recorded an inventory write-down of $871,000 for the fiscal year 2025."
C184,CROX,"Crocs, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CROX-REVENUE_INVENTORY-019; T-CROX-REVENUE_INVENTORY-022,,The valuation of inventory is subject to significant estimation uncertainty regarding the assessment of the lower of cost or net realizable value (NRV).
C185,CROX,"Crocs, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CROX-REVENUE_INVENTORY-022,,Inventory valuation is sensitive to fluctuations in consumer and retailer preferences and general market conditions.
C186,CROX,"Crocs, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CROX-REVENUE_INVENTORY-022,,The use of outlet stores and off-price channels to sell discontinued or end-of-life inventory introduces specific valuation considerations for NRV.
