failure_mode,claim_id,ticker,construct,condition,claim_text,support_used,text_source_ids,xbrl_source_ids,preliminary_interpretation,manual_review_required
integration failure,C044,SBUX,revenue,hybrid,The multi-channel nature of stored value card activation and redemption creates a risk regarding the accuracy of the transition from deferred revenue to recognized revenue.,Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C045,SBUX,revenue,hybrid,"Starbucks Corporation derives revenue from North America and International operations (selling coffee, beverages, food, packaged coffees, single-serve coffee, and merchandise) and Channel Development (selling packaged coffee, tea, foodservice products, ready-to-drink beverages, and receiving royalties from Nestlé).","F-SBUX-0085, F-SBUX-0086",,F-SBUX-0085; F-SBUX-0086,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C046,SBUX,revenue,hybrid,"Stored value cards can be activated at company-operated stores, most licensed stores, Starbucks.com, via mobile devices, and at certain third-party websites and locations, although they cannot be reloaded at third-party sites.",Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C057,SBUX,inventory,hybrid,Inventories are stated at the lower of cost (primarily moving average cost) or net realizable value.,T-SBUX-INVENTORY-015,T-SBUX-INVENTORY-015,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C059,SBUX,inventory,hybrid,"The reliance on ""obsolescence trends"" and ""historical experience"" to determine inventory reserves for obsolete and slow-moving inventory presents a risk to the valuation assertion.",T-SBUX-INVENTORY-015,T-SBUX-INVENTORY-015,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C060,SBUX,inventory,hybrid,"The possibility of ""excess inventory"" and ""increased inventory markdowns"" creates a risk that inventory may be overstated relative to its net realizable value.",T-SBUX-INVENTORY-008,T-SBUX-INVENTORY-008,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C061,SBUX,inventory,hybrid,"The use of ""estimated shrinkage"" between physical inventory counts introduces a risk to the valuation assertion.",T-SBUX-INVENTORY-015,T-SBUX-INVENTORY-015,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C073,TGT,revenue,hybrid,Revenue for digitally originated sales is recognized upon delivery to the guest or upon guest pickup at the store.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C074,TGT,revenue,hybrid,"As of February 1, 2025, the liability for estimated returns was $172 million.",Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C075,TGT,revenue,hybrid,The timing of revenue recognition for digitally originated sales presents a cut-off risk.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C076,TGT,revenue,hybrid,The estimation of expected returns introduces a risk to the accuracy and valuation of revenue and the associated return liability.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C077,TGT,revenue,hybrid,The recognition of gift card breakage revenue is subject to estimation risk.,Text Chunk 2,Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C089,TGT,inventory,hybrid,Target Corporation values its inventory at the lower of LIFO cost or market and utilizes the retail inventory accounting method.,Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C090,TGT,inventory,hybrid,"As of February 1, 2025, Target Corporation's net inventory was $12,740,000,000.",F-TGT-0007,,F-TGT-0007,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C091,TGT,inventory,hybrid,The estimation of the inventory shrink reserve presents a valuation risk due to the high sensitivity of the reserve's impact on cost of sales.,Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C092,TGT,inventory,hybrid,Inventory valuation is subject to risk regarding the timing and accuracy of markdown adjustments driven by external volatility.,Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C093,TGT,inventory,hybrid,The use of the Retail Inventory Method (RIM) introduces a valuation risk centered on the accuracy of the cost-to-retail ratio.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
